date,open,high,low,close,volume,amount
2010-03-05,3253.164000,3276.403000,3239.677000,3259.764000000,45629138.00,59621178434.000
2010-03-08,3268.397000,3293.930000,3258.034000,3286.178000000,41540876.00,54686555117.000
2010-03-09,3285.620000,3322.506000,3255.982000,3305.863000000,54199486.00,71971297725.000
2010-03-10,3304.036000,3321.081000,3267.761000,3279.694000000,46421079.00,61760429281.000
2010-03-11,3282.199000,3303.488000,3251.704000,3276.705000000,47487754.00,63732658851.000
2010-03-12,3277.309000,3284.263000,3232.117000,3233.126000000,39957344.00,52611210820.000
2010-03-15,3231.216000,3234.821000,3171.803000,3183.183000000,37844304.00,49219898122.000
2010-03-16,3183.775000,3204.289000,3169.098000,3203.971000000,30847780.00,41510426396.000
2010-03-17,3214.216000,3273.998000,3207.271000,3273.916000000,45800934.00,62587395428.000
2010-03-18,3277.883000,3295.368000,3256.593000,3267.555000000,46948013.00,62509130228.000
2010-03-19,3270.978000,3296.411000,3251.136000,3293.871000000,46062187.00,62114230718.000
2010-03-22,3297.824000,3313.922000,3288.506000,3302.628000000,49439462.00,65652976792.000
2010-03-23,3305.554000,3309.120000,3272.921000,3275.573000000,46539536.00,62145531443.000
2010-03-24,3282.052000,3298.543000,3271.033000,3276.669000000,44547966.00,58330301241.000
2010-03-25,3270.390000,3270.390000,3222.821000,3229.128000000,44984285.00,58604759567.000
2010-03-26,3226.800000,3285.388000,3220.594000,3275.002000000,47444965.00,61592843185.000
2010-03-29,3295.763000,3363.605000,3293.671000,3358.540000000,84724910.00,110326973484.000
2010-03-30,3361.353000,3372.265000,3350.313000,3366.708000000,56436980.00,78682669413.000
2010-03-31,3369.193000,3369.901000,3338.745000,3345.607000000,53124287.00,72120886278.000
2010-04-01,3349.884000,3392.481000,3349.884000,3391.935000000,67772669.00,92360495841.000
2010-04-02,3400.139000,3412.200000,3391.806000,3407.346000000,69073452.00,99040760060.000
2010-04-06,3422.849000,3436.290000,3386.888000,3405.145000000,65191710.00,93985883918.000
2010-04-07,3403.088000,3404.582000,3369.017000,3386.949000000,54011228.00,76733159936.000
2010-04-08,3381.306000,3381.306000,3336.156000,3346.744000000,62185322.00,89317468603.000
2010-04-09,3348.773000,3379.398000,3342.471000,3379.170000000,51280567.00,75590356319.000
2010-04-12,3388.355000,3393.557000,3330.300000,3351.478000000,74565150.00,105996609644.000
2010-04-13,3350.726000,3401.707000,3324.048000,3391.716000000,79907695.00,116440339286.000
2010-04-14,3394.635000,3404.516000,3377.437000,3403.707000000,60306131.00,90787568716.000
2010-04-15,3407.025000,3412.937000,3365.881000,3394.574000000,61051685.00,88700235636.000
2010-04-16,3388.286000,3388.286000,3348.781000,3356.332000000,47140368.00,67235596653.000
2010-04-19,3313.499000,3313.499000,3175.441000,3176.423000000,88416300.00,118855971989.000
2010-04-20,3176.414000,3196.646000,3130.960000,3173.374000000,64137859.00,88005965691.000
2010-04-21,3178.877000,3237.537000,3164.765000,3236.679000000,66928331.00,93373377791.000
2010-04-22,3222.680000,3231.985000,3177.726000,3201.541000000,71081688.00,98970386343.000
2010-04-23,3198.784000,3224.739000,3172.578000,3190.003000000,61252679.00,92115669956.000
2010-04-26,3195.457000,3207.715000,3168.374000,3171.997000000,50894199.00,74959121055.000
2010-04-27,3163.101000,3163.101000,3060.854000,3108.409000000,65296574.00,88058360562.000
2010-04-28,3080.324000,3122.115000,3062.085000,3097.353000000,45995406.00,65484924588.000
2010-04-29,3114.941000,3130.696000,3059.796000,3060.064000000,48260971.00,69250868103.000
2010-04-30,3060.120000,3068.127000,3014.069000,3067.365000000,54477881.00,73190884013.000
2010-05-04,3005.487000,3056.082000,2994.921000,3019.449000000,41248610.00,54558607131.000
2010-05-05,2981.777000,3036.865000,2943.361000,3036.394000000,59670441.00,80835340414.000
2010-05-06,3014.907000,3014.907000,2895.392000,2896.856000000,58770413.00,81502262034.000
2010-05-07,2835.879000,2892.533000,2817.153000,2836.789000000,61119399.00,79147499714.000
2010-05-10,2842.366000,2872.314000,2798.523000,2858.233000000,50209173.00,64909188147.000
2010-05-11,2916.335000,2922.125000,2790.701000,2800.817000000,58363490.00,73894666754.000
2010-05-12,2781.708000,2832.147000,2756.422000,2818.160000000,53002271.00,64693988243.000
2010-05-13,2818.578000,2886.972000,2811.661000,2886.911000000,55145778.00,67486536614.000
2010-05-14,2865.580000,2888.093000,2849.241000,2868.023000000,42498719.00,55175291043.000
2010-05-17,2828.882000,2828.882000,2712.444000,2714.715000000,52166847.00,62395513473.000
2010-05-18,2711.407000,2781.845000,2686.973000,2771.348000000,54509671.00,62746245805.000
2010-05-19,2748.952000,2803.695000,2723.304000,2762.174000000,45576221.00,54656401336.000
2010-05-20,2739.219000,2793.876000,2721.072000,2726.022000000,42174803.00,52677914862.000
2010-05-21,2656.419000,2769.094000,2647.597000,2768.791000000,54475383.00,63501808937.000
2010-05-24,2787.751000,2886.368000,2787.751000,2873.469000000,74502338.00,89961882752.000
2010-05-25,2851.256000,2855.332000,2798.020000,2813.943000000,55168327.00,67954988050.000
2010-05-26,2814.444000,2839.031000,2797.628000,2813.944000000,39858564.00,48495603059.000
2010-05-27,2808.048000,2866.865000,2771.586000,2859.979000000,53445209.00,65266773667.000
2010-05-28,2885.857000,2893.687000,2835.069000,2850.302000000,51534989.00,64342505421.000
2010-05-31,2835.334000,2857.416000,2772.792000,2773.264000000,46216854.00,56695803642.000
2010-06-01,2755.284000,2782.288000,2710.593000,2744.162000000,44851426.00,53230913831.000
2010-06-02,2729.328000,2757.914000,2700.075000,2757.527000000,39587020.00,46364229493.000
2010-06-03,2769.096000,2787.512000,2735.700000,2736.076000000,39587258.00,47143262922.000
2010-06-04,2721.359000,2748.476000,2713.095000,2744.391000000,32746291.00,39858363381.000
2010-06-07,2692.831000,2716.401000,2673.342000,2695.715000000,39541993.00,47062703369.000
2010-06-08,2694.106000,2720.586000,2672.058000,2699.336000000,35140182.00,42677104255.000
2010-06-09,2711.642000,2787.825000,2687.331000,2782.133000000,60209533.00,70710080539.000
2010-06-10,2755.940000,2776.259000,2746.107000,2750.023000000,42906334.00,50312244286.000
2010-06-11,2766.196000,2782.095000,2755.949000,2758.866000000,40558585.00,48871478557.000
2010-06-17,2778.533000,2784.916000,2742.640000,2742.733000000,32612356.00,40293233998.000
2010-06-18,2739.032000,2755.842000,2686.614000,2696.166000000,41808344.00,50256350918.000
2010-06-21,2698.984000,2784.470000,2686.323000,2780.663000000,55261482.00,62809190519.000
2010-06-22,2772.886000,2795.323000,2766.443000,2783.720000000,39096052.00,45207207792.000
2010-06-23,2768.695000,2788.219000,2734.047000,2758.495000000,35600350.00,41600240721.000
2010-06-24,2753.712000,2783.508000,2739.807000,2757.498000000,29220682.00,33772857040.000
2010-06-25,2744.122000,2759.445000,2715.655000,2736.287000000,30671782.00,34649179151.000
2010-06-28,2734.507000,2751.455000,2710.087000,2716.777000000,27710044.00,31198277084.000
2010-06-29,2717.465000,2724.231000,2591.694000,2592.019000000,48758552.00,50635969685.000
2010-06-30,2572.912000,2575.824000,2546.843000,2563.070000000,35698794.00,35809892277.000
2010-07-01,2557.920000,2574.098000,2524.573000,2526.071000000,32857646.00,32478457404.000
2010-07-02,2523.035000,2542.122000,2462.202000,2534.105000000,44914100.00,43367318435.000
2010-07-05,2507.354000,2529.425000,2476.490000,2512.651000000,32178574.00,30922298985.000
2010-07-06,2504.869000,2563.411000,2502.931000,2562.902000000,39714762.00,38976836519.000
2010-07-07,2561.106000,2580.608000,2548.559000,2580.477000000,35720909.00,37059898462.000
2010-07-08,2591.509000,2602.230000,2564.638000,2575.921000000,34056966.00,35348760455.000
2010-07-09,2578.555000,2662.163000,2557.259000,2647.104000000,58493045.00,61470066938.000
2010-07-12,2647.421000,2689.809000,2636.648000,2676.218000000,58462491.00,63462262470.000
2010-07-13,2649.658000,2649.658000,2618.340000,2634.593000000,43228506.00,45125109071.000
2010-07-14,2640.925000,2684.616000,2640.542000,2653.609000000,46688860.00,49497106670.000
2010-07-15,2650.334000,2680.442000,2607.788000,2608.519000000,40440459.00,41444710868.000
2010-07-16,2597.000000,2621.332000,2573.794000,2616.128000000,35063302.00,35422326209.000
2010-07-19,2592.087000,2691.937000,2585.007000,2682.472000000,53868070.00,59826125817.000
2010-07-20,2685.459000,2746.237000,2685.459000,2741.503000000,73128345.00,80958216794.000
2010-07-21,2744.696000,2766.205000,2733.721000,2747.335000000,70757092.00,73734684585.000
2010-07-22,2738.027000,2783.138000,2734.071000,2781.286000000,61064806.00,63576603000.000
2010-07-23,2787.521000,2806.979000,2769.440000,2793.076000000,64518565.00,70423335023.000
2010-07-26,2798.762000,2811.953000,2775.778000,2811.055000000,53580026.00,59848905278.000
2010-07-27,2803.755000,2812.208000,2785.374000,2795.724000000,49799884.00,55963991462.000
2010-07-28,2796.483000,2866.404000,2784.155000,2863.724000000,79985954.00,84516845765.000
2010-07-29,2866.772000,2888.599000,2851.996000,2877.976000000,95965409.00,92278224492.000
2010-07-30,2871.481000,2876.136000,2844.682000,2868.846000000,62575591.00,65224482367.000
2010-08-02,2868.279000,2922.612000,2867.450000,2917.275000000,71743300.00,73569074427.000
2010-08-03,2925.254000,2929.614000,2865.761000,2865.971000000,81748364.00,86870574135.000
2010-08-04,2858.354000,2876.595000,2818.248000,2876.434000000,71318039.00,75670144265.000
2010-08-05,2874.660000,2877.310000,2833.669000,2850.829000000,67157581.00,73038457567.000
2010-08-06,2848.155000,2898.534000,2821.033000,2897.659000000,74914895.00,82145150913.000
2010-08-09,2894.103000,2922.624000,2888.045000,2918.241000000,74726391.00,83431980844.000
2010-08-10,2920.404000,2925.296000,2832.078000,2832.638000000,78435034.00,84283699448.000
2010-08-11,2823.150000,2864.361000,2823.150000,2850.211000000,54979133.00,58786302173.000
2010-08-12,2822.791000,2860.369000,2810.102000,2816.386000000,59893227.00,65825613506.000
2010-08-13,2818.410000,2856.043000,2799.221000,2855.547000000,58507721.00,62923747790.000
2010-08-16,2851.219000,2927.688000,2843.024000,2922.083000000,81068043.00,91427507573.000
2010-08-17,2927.258000,2949.730000,2917.834000,2942.291000000,76452912.00,86700542871.000
2010-08-18,2945.979000,2962.749000,2924.668000,2937.362000000,70747600.00,80832368101.000
2010-08-19,2940.767000,2975.188000,2928.013000,2955.395000000,76924865.00,91734587115.000
2010-08-20,2943.334000,2951.956000,2892.640000,2898.333000000,71663306.00,82298173112.000
2010-08-23,2895.707000,2920.541000,2886.659000,2896.192000000,48915517.00,57772779300.000
2010-08-24,2892.129000,2933.118000,2866.802000,2911.827000000,61093796.00,65036592635.000
2010-08-25,2893.986000,2904.662000,2842.249000,2843.023000000,63610621.00,67048224427.000
2010-08-26,2853.105000,2868.878000,2836.129000,2850.093000000,48670442.00,51862922913.000
2010-08-27,2847.448000,2861.074000,2833.422000,2858.566000000,40789582.00,46699343358.000
2010-08-30,2874.247000,2921.085000,2872.918000,2915.010000000,65749882.00,77341616491.000
2010-08-31,2905.154000,2910.060000,2889.808000,2903.188000000,65766104.00,79976347302.000
2010-09-01,2907.663000,2931.760000,2859.166000,2884.042000000,76975578.00,87931887194.000
2010-09-02,2917.735000,2931.547000,2903.028000,2921.393000000,70700851.00,88923142593.000
2010-09-03,2926.939000,2929.548000,2891.878000,2920.205000000,72641027.00,87724829649.000
2010-09-06,2935.890000,2980.424000,2935.890000,2975.090000000,93855681.00,110466116424.000
2010-09-07,2979.298000,2991.435000,2959.902000,2983.108000000,73519361.00,85488193860.000
2010-09-08,2970.002000,2982.720000,2953.839000,2980.967000000,72872002.00,92660879129.000
2010-09-09,2986.867000,2986.867000,2922.200000,2926.460000000,81395554.00,103248280132.000
2010-09-10,2928.001000,2940.790000,2890.035000,2932.554000000,65086704.00,83743163807.000
2010-09-13,2933.594000,2977.078000,2925.416000,2962.319000000,67279900.00,87536178972.000
2010-09-14,2971.547000,2984.466000,2954.507000,2965.009000000,70105903.00,87204421695.000
2010-09-15,2965.539000,2965.539000,2905.630000,2913.194000000,71619642.00,86445964329.000
2010-09-16,2908.322000,2917.849000,2834.033000,2857.789000000,74074284.00,84198375910.000
2010-09-17,2864.717000,2877.083000,2847.681000,2861.369000000,51938867.00,62466326737.000
2010-09-20,2865.040000,2872.219000,2829.757000,2849.828000000,50283104.00,57582985440.000
2010-09-21,2859.430000,2869.380000,2844.125000,2857.476000000,35751881.00,44742025248.000
2010-09-27,2869.928000,2905.526000,2864.209000,2905.029000000,49071823.00,62611534184.000
2010-09-28,2900.536000,2900.536000,2875.658000,2880.907000000,58660826.00,80859749613.000
2010-09-29,2877.269000,2908.732000,2866.854000,2874.812000000,56782236.00,74516021987.000
2010-09-30,2859.060000,2935.595000,2857.418000,2935.574000000,63000247.00,80709727516.000
2010-10-08,2965.652000,3055.836000,2963.237000,3044.233000000,99994720.00,134986634589.000
2010-10-11,3069.188000,3154.204000,3069.188000,3132.895000000,158734904.00,212607066630.000
2010-10-12,3121.636000,3173.849000,3106.224000,3172.726000000,127361705.00,178245219770.000
2010-10-13,3176.886000,3221.646000,3165.578000,3217.577000000,144607773.00,195444719896.000
2010-10-14,3245.133000,3286.023000,3215.031000,3224.140000000,179611838.00,227654458634.000
2010-10-15,3204.723000,3327.683000,3199.122000,3327.683000000,193414140.00,245619296303.000
2010-10-18,3345.804000,3390.015000,3288.781000,3306.160000000,217882051.00,267884370339.000
2010-10-19,3300.517000,3375.867000,3279.999000,3375.674000000,130441791.00,165488914490.000
2010-10-20,3304.221000,3439.225000,3301.009000,3396.879000000,166528460.00,235372057455.000
2010-10-21,3404.721000,3418.091000,3344.962000,3374.685000000,123883245.00,175383712722.000
2010-10-22,3365.597000,3408.491000,3346.111000,3378.655000000,116361857.00,163153618542.000
2010-10-25,3386.850000,3481.347000,3366.430000,3481.081000000,145433105.00,208809404746.000
2010-10-26,3491.474000,3499.817000,3436.463000,3466.084000000,142636999.00,205216457176.000
2010-10-27,3451.427000,3490.217000,3398.095000,3403.872000000,123761570.00,177072552070.000
2010-10-28,3390.426000,3420.885000,3371.439000,3397.692000000,98349456.00,141135882042.000
2010-10-29,3400.262000,3404.600000,3351.601000,3379.983000000,100458970.00,145528365885.000
2010-11-01,3390.413000,3472.995000,3390.413000,3472.995000000,126269148.00,186725762506.000
2010-11-02,3484.232000,3522.175000,3449.724000,3463.131000000,154911450.00,233976228513.000
2010-11-03,3462.740000,3474.707000,3419.080000,3420.341000000,126359303.00,178803329799.000
2010-11-04,3426.460000,3480.929000,3419.643000,3480.505000000,116799481.00,164721393800.000
2010-11-05,3538.988000,3554.470000,3498.276000,3520.798000000,137688027.00,196618041454.000
2010-11-08,3534.191000,3549.305000,3506.375000,3548.566000000,126470759.00,174067581795.000
2010-11-09,3547.440000,3547.440000,3498.623000,3523.954000000,122454533.00,170174876748.000
2010-11-10,3507.195000,3508.275000,3470.968000,3499.111000000,120078578.00,176529783278.000
2010-11-11,3490.738000,3557.987000,3484.891000,3509.975000000,138976233.00,209121524845.000
2010-11-12,3484.606000,3497.061000,3284.348000,3291.833000000,160733850.00,224200791087.000
2010-11-15,3298.737000,3319.976000,3241.758000,3314.893000000,102315724.00,144492952434.000
2010-11-16,3311.616000,3311.616000,3155.475000,3169.538000000,108307072.00,154278113336.000
2010-11-17,3124.109000,3168.931000,3087.507000,3103.906000000,83258080.00,118981231625.000
2010-11-18,3134.937000,3158.629000,3097.388000,3147.962000000,65697292.00,94476115838.000
2010-11-19,3168.165000,3178.846000,3076.213000,3178.846000000,83347654.00,114672977294.000
2010-11-22,3148.215000,3200.472000,3137.751000,3171.941000000,83212776.00,114302974766.000
2010-11-23,3156.478000,3156.478000,3061.623000,3107.176000000,77399591.00,105281461473.000
2010-11-24,3088.992000,3177.412000,3088.992000,3177.043000000,75332083.00,107688446612.000
2010-11-25,3197.965000,3227.054000,3172.282000,3223.484000000,83442094.00,116948295300.000
2010-11-26,3214.132000,3224.517000,3170.364000,3194.853000000,64467824.00,96226367197.000
2010-11-29,3183.540000,3206.756000,3159.459000,3190.050000000,58994892.00,88799073974.000
2010-11-30,3187.529000,3205.782000,3060.438000,3136.985000000,85762355.00,120572328539.000
2010-12-01,3127.262000,3150.436000,3111.645000,3136.024000000,48882668.00,69472579579.000
2010-12-02,3185.760000,3194.226000,3154.320000,3155.059000000,61023908.00,89764278070.000
2010-12-03,3161.930000,3171.378000,3134.419000,3158.156000000,50475354.00,71387337327.000
2010-12-06,3168.875000,3185.332000,3140.555000,3165.570000000,56362630.00,80043207937.000
2010-12-07,3152.733000,3214.691000,3112.223000,3200.339000000,58483653.00,85548293130.000
2010-12-08,3194.895000,3215.281000,3166.766000,3171.882000000,59515663.00,87056105048.000
2010-12-09,3155.996000,3175.052000,3122.196000,3123.366000000,66152965.00,83159036199.000
2010-12-10,3107.379000,3172.163000,3101.083000,3161.977000000,57108105.00,78069117443.000
2010-12-13,3176.335000,3261.344000,3173.564000,3261.061000000,95713739.00,132088353616.000
2010-12-14,3270.201000,3279.365000,3254.181000,3269.474000000,84104241.00,114928736614.000
2010-12-15,3270.781000,3282.772000,3242.516000,3247.644000000,72269785.00,104793174443.000
2010-12-16,3246.013000,3258.394000,3224.122000,3230.665000000,56799625.00,79262377015.000
2010-12-17,3229.297000,3232.839000,3212.579000,3225.661000000,44919147.00,65697259729.000
2010-12-20,3239.022000,3249.763000,3117.998000,3178.657000000,74759693.00,107521977283.000
2010-12-21,3184.700000,3251.551000,3168.889000,3249.509000000,79852420.00,112461675290.000
2010-12-22,3253.821000,3263.450000,3201.669000,3215.453000000,69936258.00,98309032433.000
2010-12-23,3210.670000,3237.644000,3183.152000,3188.607000000,61315847.00,84430476449.000
2010-12-24,3170.642000,3187.724000,3139.454000,3162.955000000,55137767.00,72989136209.000
2010-12-27,3176.107000,3219.655000,3092.263000,3099.709000000,70017107.00,99855478580.000
2010-12-28,3084.823000,3095.358000,3041.328000,3044.931000000,56325749.00,74843956564.000
2010-12-29,3049.928000,3062.557000,3025.220000,3061.830000000,45192775.00,60134777207.000
2010-12-30,3063.050000,3079.909000,3027.898000,3064.098000000,54281429.00,70284275917.000
2010-12-31,3069.053000,3129.446000,3067.108000,3128.261000000,62566078.00,90545901164.000
2011-01-04,3155.557000,3194.358000,3143.604000,3189.682000000,85410440.00,129159620771.000
2011-01-05,3170.181000,3193.779000,3158.871000,3175.662000000,79268810.00,116943213907.000
2011-01-06,3177.835000,3198.052000,3152.572000,3159.643000000,59681092.00,91568447016.000
2011-01-07,3156.362000,3209.900000,3141.125000,3166.624000000,84093233.00,113651250191.000
2011-01-10,3162.085000,3182.782000,3102.428000,3108.187000000,65494406.00,87992881712.000
2011-01-11,3096.249000,3131.292000,3084.513000,3124.922000000,56985917.00,74832449402.000
2011-01-12,3135.180000,3153.430000,3099.413000,3142.337000000,58498518.00,71551421416.000
2011-01-13,3153.985000,3157.036000,3127.158000,3141.284000000,51936988.00,66925783701.000
2011-01-14,3129.667000,3129.667000,3083.511000,3091.862000000,53351439.00,71012100141.000
2011-01-17,3067.433000,3078.880000,2968.610000,2974.350000000,66807562.00,85454121099.000
2011-01-18,2965.424000,2984.470000,2947.600000,2977.648000000,42964564.00,54652416480.000
2011-01-19,2978.457000,3045.605000,2967.243000,3044.851000000,56571942.00,72772226927.000
2011-01-20,3037.862000,3037.862000,2944.498000,2944.713000000,61046643.00,76440116738.000
2011-01-21,2935.233000,3030.265000,2935.138000,2983.456000000,73102966.00,85157790710.000
2011-01-24,2986.092000,2999.201000,2943.920000,2954.232000000,65472545.00,75805236102.000
2011-01-25,2949.647000,2960.587000,2919.162000,2938.654000000,48982689.00,57572819537.000
2011-01-26,2939.773000,2982.322000,2939.356000,2978.431000000,43374979.00,51746038070.000
2011-01-27,2953.589000,3037.159000,2935.271000,3026.466000000,82585919.00,96976029913.000
2011-01-28,3020.122000,3047.266000,3011.375000,3036.735000000,63013589.00,78241917729.000
2011-01-31,3035.418000,3076.547000,3032.449000,3076.508000000,67105914.00,83070309373.000
2011-02-01,3083.493000,3087.225000,3062.830000,3077.283000000,49862530.00,65832698489.000
2011-02-09,3055.398000,3087.551000,3031.749000,3040.949000000,60394145.00,78148356164.000
2011-02-10,3034.079000,3105.324000,3024.349000,3104.163000000,66603662.00,86967273678.000
2011-02-11,3100.274000,3133.499000,3092.582000,3120.956000000,75975553.00,99001500830.000
2011-02-14,3123.246000,3227.432000,3123.246000,3219.143000000,121302331.00,155829380802.000
2011-02-15,3223.222000,3259.639000,3215.619000,3217.671000000,109554438.00,147747227925.000
2011-02-16,3211.135000,3248.849000,3195.467000,3248.527000000,91334283.00,125549596910.000
2011-02-17,3255.626000,3265.257000,3218.913000,3245.907000000,88964695.00,127559673833.000
2011-02-18,3240.051000,3242.374000,3203.120000,3211.876000000,75378684.00,104743371599.000
2011-02-21,3192.146000,3258.280000,3189.848000,3257.908000000,79399776.00,108055882413.000
2011-02-22,3267.615000,3269.048000,3161.833000,3163.578000000,107863741.00,147588609007.000
2011-02-23,3152.441000,3182.185000,3145.986000,3174.742000000,71324854.00,97251422739.000
2011-02-24,3170.236000,3195.688000,3157.969000,3190.935000000,66486893.00,94908281477.000
2011-02-25,3190.872000,3213.792000,3159.847000,3197.617000000,61619275.00,88275899352.000
2011-02-28,3200.677000,3241.597000,3178.831000,3239.559000000,76630663.00,109249970846.000
